'Query','answer_gold','Google','Bing','5_hnoun','5_hnoun_list','5_hnoun_freq','5_amod_freq','10_hnoun','10_hnoun_list','10_hnoun_freq','10_amod_freq','50_hnoun','50_hnoun_list','50_hnoun_freq','50_amod_freq'
How many characters does Lord of the Rings have?,,,,982,{982: 982 characters},{1: characters},{1: },2,"{982: 982 characters,3: three epic fantasy adventure films,2: The Two Towers,2: The Two Towers}","{1: films,1: characters,2: Towers}","{3: ,1: epic}",4,"{982: 982 characters,3: three epic fantasy adventure films,2: The Two Towers,2: The Two Towers,3: the three trolls,3: the three trolls,9: nine rings,6: all six films,15: 15 Things,19: the nineteen other Rings,3: the three major races,15: 15 Worst Changes,20: 20 Strangest Things,25: 25 Ridiculous Things,2: The Two Towers,2: The Two Towers}","{3: Things,1: Changes,1: characters,4: Towers,1: races,1: rings,1: Rings,2: films,2: trolls}","{10: ,1: Ridiculous,1: epic,1: Strangest,1: major,1: other,1: Worst}"
characters in Lord of the Rings,,,,9,{9: nine rings},{1: rings},{1: },9,{9: nine rings},{1: rings},{1: },3,"{9: nine rings,1: 1 Aragorn Aragorn II,3: three epic fantasy adventure films,2: The Two Towers,4: four main races,2: The Two Towers,3: three volumes,2: The Two Towers,500: 500 different sets,9: the nine members}","{1: members,1: races,1: II,1: volumes,3: Towers,1: films,1: rings,1: sets}","{7: ,1: main,1: different,1: epic}"
Lord of the Rings characters,,,,,,,,9,{9: nine rings},{1: rings},{1: },8,"{9: nine rings,3: three epic fantasy adventure films,2: The Two Towers,1: the one true God,20: twenty magical rings,3: three rings,7: seven rings,9: nine rings,10: 10 Characters,10: 10 characters,4: four main races,2: 2 Comments,15: 15 Worst Changes,500: 500 different sets}","{1: Changes,1: characters,1: God,1: Characters,1: races,5: rings,1: Towers,1: films,1: sets,1: Comments}","{8: ,1: main,1: magical,1: epic,1: true,1: different,1: Worst}"
Number of characters in Lord of the Rings,,,,495,"{9: nine rings,982: 982 characters}","{1: rings,1: characters}",{2: },982,"{9: nine rings,982: 982 characters,150000000: over 150 million copies}","{1: rings,1: characters,1: copies}",{3: },9,"{982: 982 characters,9: nine rings,150000000: over 150 million copies,3: three epic fantasy adventure films,2: The Two Towers,2000: up to 2000 characters,50: the Top 50 Lord,2: The Two Towers,20: twenty magical rings,3: three rings,7: seven rings,9: nine rings,22: 22 Lord,51: 51 Lord,3: the three movies}","{2: characters,1: movies,2: Towers,3: Lord,1: films,1: copies,5: rings}","{13: ,1: magical,1: epic}"
How many subway stations does New York have?,,,,245,"{472: the 472 stations,468: 468 New York City subway stations,22: The 22 interconnected subway routes,3: three permanent shuttle services}","{1: services,2: stations,1: routes}","{2: ,1: interconnected,1: permanent}",70,"{472: the 472 stations,468: 468 New York City subway stations,22: The 22 interconnected subway routes,3: three permanent shuttle services,70: 70 New York City Subway stations,2: the 2 station complexes,214: The system's 214 electrical-power substations,170: 170 New York City Subway stations,2: two or more non-adjacent platforms}","{1: routes,1: platforms,1: complexes,1: services,4: stations,1: substations}","{6: ,1: interconnected,1: electrical,1: permanent}",96,"{472: the 472 stations,151: 151 New York City Subway stations,18: the 18 station complexes,468: 468 New York City subway stations,22: The 22 interconnected subway routes,3: three permanent shuttle services,70: 70 New York City Subway stations,2: the 2 station complexes,170: 170 New York City Subway stations,2: two or more non-adjacent platforms,81: 81 New York City Subway stations,2: the 2 station complexes,28: 28 stations,472: 472 stations,214: The system's 214 electrical-power substations,472: 472 stations,27: 27 subway lines,468: 468 MTA Subway stations,1000000: some 5.5 million riders,3: three new stations,472: 472 stations,96: 96 St Second Avenue Subway stations,424: 424 stations,468: 468 subway stations,2: just 2 trains,75: 75 stations,4: four lines,8000: close to 8,000 laborers,468: 468 New York City subway stations,468: 468 stations,8: 8 separate train lines}","{1: laborers,3: lines,1: trains,1: riders,1: routes,1: services,3: complexes,1: platforms,18: stations,1: substations}","{26: ,1: new,1: electrical,1: permanent,1: interconnected,1: separate}"
subway stations in New York,,,,1000000,"{1000000: 5.65 million passengers,1000000: 5.65 million riders}","{1: passengers,1: riders}",{2: },1000000,"{1000000: 5.65 million passengers,1000000: some 5.5 million riders,1000000: 5.65 million riders}","{1: passengers,2: riders}",{3: },30,"{1000000: 5.65 million passengers,1000000: some 5.5 million riders,472: 472 stations,3: the three new stops,1000000: 5.65 million riders,176: 176 New York businesses,28: Manhattan‎ (1 C, 28 P) Pages,125: The following 125 pages,472: 472 stations,27: 27 subway lines,3: three new stations,189: the 189 neighborhoods,2: i.e. two or more stations,472: The 472 stations,10: 10 secret subway tunnels,2: two rapid transit services,18271: 18,271 traveler reviews,91109: 91,109 candid photos,30: 30 hotels,12: 12 New York City hotels,5: The 5 Most Architecturally Distinguished Subway Stations,20: 20 subway,3: the: 1, 2, F, and L trains,2: two rapid transit services,64531511: 64,531,511 passengers}","{1: neighborhoods,1: photos,1: reviews,1: subway,1: lines,2: passengers,1: businesses,1: trains,5: stations,2: hotels,1: Pages,1: stops,1: pages,2: riders,1: Stations,2: services,1: tunnels}","{17: ,2: new,1: secret,2: rapid,1: following,1: candid,1: Distinguished}"
New York subway stations,,,,500236,"{1000000: 5.65 million passengers,472: 472 stations}","{1: passengers,1: stations}",{2: },500236,"{1000000: 5.65 million passengers,472: 472 stations}","{1: passengers,1: stations}",{2: },15,"{1000000: 5.65 million passengers,472: 472 stations,3: the three new stops,170: 170 New York City Subway stations,2: two or more non-adjacent platforms,1: one station,472: 472 stations,472: 472 stations,27: 27 subway lines,81: 81 New York City Subway stations,2: the 2 station complexes,1: one station,1000000: 5.66 million passengers,5: five stations,15: up to 15 more subway stations,2: i.e. two or more stations,472: The 472 stations,2: two rapid transit services,1000000: some 5.5 million riders,3: three new stations,23: 23 stations,4: four linked stations,10: The top 10 most dangerous stations,472: 472 stations,96: 96 St Second Avenue Subway stations,424: 424 stations,2: two rapid transit services,176: 176 New York businesses,6: six stations,3: all three trains,472: 472 stations,1: the 1 and A trains,2: two rapid transit services}","{3: services,2: trains,1: riders,1: stops,1: lines,2: passengers,1: businesses,1: complexes,1: platforms,18: stations,2: station}","{25: ,1: dangerous,2: new,1: top,3: rapid,1: linked,1: more}"
Number of subway stations in New York,,,,70,"{2: two or more stations,151: 151 New York City Subway stations,18: the 18 station complexes,472: 472 stations,1000000: some 5.5 million riders,70: 70 New York City Subway stations,2: the 2 station complexes}","{1: riders,2: complexes,4: stations}",{7: },70,"{2: two or more stations,151: 151 New York City Subway stations,18: the 18 station complexes,472: 472 stations,1000000: some 5.5 million riders,70: 70 New York City Subway stations,2: the 2 station complexes,170: 170 New York City Subway stations,2: two or more non-adjacent platforms,472: 472 stations,3: the three new stops}","{1: riders,2: complexes,1: platforms,6: stations,1: stops}","{10: ,1: new}",81,"{2: two or more stations,151: 151 New York City Subway stations,18: the 18 station complexes,472: 472 stations,170: 170 New York City Subway stations,2: two or more non-adjacent platforms,70: 70 New York City Subway stations,2: the 2 station complexes,472: 472 stations,3: the three new stops,1000000: some 5.5 million riders,6418: 6,418 Number,2: i.e. two or more stations,472: The 472 stations,2: two rapid transit services,28: 28 stations,472: 472 stations,3: three new stations,176: 176 New York businesses,81: 81 New York City Subway stations,2: the 2 station complexes,189: the 189 neighborhoods,1000000: 5.65 million riders,472: 472 stations,96: 96 St Second Avenue Subway stations,424: 424 stations,28: the original 28 stations,173: about 173 feet,2: two rapid transit services,7: 7 trains,11: eleven cars,18: ten or eight-car trains,18271: 18,271 traveler reviews,91109: 91,109 candid photos,30: 30 hotels}","{1: feet,1: cars,1: photos,1: reviews,2: trains,2: services,1: businesses,3: complexes,16: stations,1: neighborhoods,1: Number,1: stops,1: hotels,2: riders,1: platforms}","{29: ,2: new,1: candid,1: original,2: rapid}"
How many subway stations does Berlin have?,,,,20886,"{10: its ten lines,173: 173 stations,41600: 41,600 stores,42431: 42,431 restaurants}","{1: stores,1: restaurants,1: stations,1: lines}",{4: },173,"{10: its ten lines,173: 173 stations,41600: 41,600 stores,42431: 42,431 restaurants,142: 142 unique stations,179: 179 total stations,2: the two stations,472: the 472 stations,12: 12 stations}","{1: stores,1: restaurants,6: stations,1: lines}","{7: ,1: unique,1: total}",38,"{10: its ten lines,173: 173 stations,41600: 41,600 stores,42431: 42,431 restaurants,142: 142 unique stations,179: 179 total stations,2: the two stations,12: 12 stations,472: the 472 stations,7: Seven subway stations,5: Another five lines,2: two recent publications,38: 38 train stations,200: 200 TOP sightseeing highlights,8: 8 separate train lines,2: two rapid transit services,468: 468 subway stations,2: two city blocks,115000000: those 115 million riders}","{1: stores,1: highlights,1: publications,3: lines,1: blocks,1: services,1: riders,1: restaurants,9: stations}","{14: ,1: unique,1: rapid,1: total,1: separate,1: recent}"
subway stations in Berlin,,,,173,{173: 173 active stations},{1: stations},{1: active},101,"{173: 173 active stations,29: 29 stations}",{2: stations},"{1: ,1: active}",20,"{173: 173 active stations,29: 29 stations,2: The two major metro rail systems,173: 173 underground stations,29: 29 stations,20: more than 20 different lines,3: three stations,20: But these 20 subway stations,7: Seven subway stations,3: only three stations,2: two different types}","{1: types,1: systems,8: stations,1: lines}","{6: ,1: underground,2: different,1: major,1: more,1: active}"
Berlin subway stations,,,,173,{173: 173 active stations},{1: stations},{1: active},101,"{173: 173 active stations,29: 29 stations}",{2: stations},"{1: ,1: active}",20,"{173: 173 active stations,164: 164 active stations,29: 29 stations,2: The two major metro rail systems,29: 29 stations,20: more than 20 different lines,3: only three stations,5: five adjacent tracks,3: three platforms,13: 13 stations,7: Seven subway stations,40: 40 stations,81: 81 listed subway stations,20: But these 20 subway stations,7: The seven newly protected stations}","{1: systems,1: tracks,1: platforms,11: stations,1: lines}","{8: ,1: different,1: listed,1: adjacent,1: major,1: protected,1: more,2: active}"
Number of subway stations in Berlin,,,,173,{173: 173 active stations},{1: stations},{1: active},29,"{173: 173 active stations,29: 29 stations,2: two different types}","{1: types,2: stations}","{1: ,1: different,1: active}",10,"{173: 173 active stations,29: 29 stations,2: two different types,80: the 80 stations,5: five adjacent tracks,3: three platforms,20: more than 20 different lines,81: 81 listed subway stations,7: The seven newly protected stations,7: 7 reviews,472: 472 stations,10: The top 10 most dangerous stations,6: 6 trains,4: 4 trains,15: 15 reviews}","{2: trains,2: reviews,1: lines,1: types,1: tracks,1: platforms,7: stations}","{8: ,1: dangerous,2: different,1: top,1: listed,1: adjacent,1: more,1: protected,1: active}"
How many ice lines does Germany have?,,,,300,{300: about 300 trains},{1: trains},{1: },24,"{300: about 300 trains,24: the 24 ICE lines,3: the 3 ICE Sprinter lines}","{2: lines,1: trains}",{3: },21,"{300: about 300 trains,24: the 24 ICE lines,3: the 3 ICE Sprinter lines,20000: about 20,000 ICE employees,400: approximately 400 offices,53: 53 countries,7: the seven main breweries,1300: approximately 1,300 breweries,1: ICE 1 trainsets,2: the first two German high-speed rail lines,18: 18 trainsets,2: two teams}","{2: trainsets,3: lines,2: breweries,1: offices,1: trains,1: teams,1: countries,1: employees}","{10: ,1: main,1: German,1: high,1: first}"
ice lines in Germany,,,,16,"{30: 30 scheduled lines,2: two ICE Sprinter lines}",{2: lines},"{1: ,1: scheduled}",5,"{30: 30 scheduled lines,2: two ICE Sprinter lines,5: five types}","{1: types,2: lines}","{2: ,1: scheduled}",3,"{30: 30 scheduled lines,2: two ICE Sprinter lines,5: five types,4: Four multisystem trains,3: three main types,80: 80 suppliers,1: ICE 1 trainsets,2: the first two German high-speed rail lines,18: 18 trainsets,2: two attacks}","{2: trainsets,1: attacks,1: trains,2: types,1: suppliers,3: lines}","{7: ,1: main,1: German,1: scheduled,1: first,1: high}"
Germany ice lines,,,,16,"{30: 30 scheduled lines,2: two ICE Sprinter lines}",{2: lines},"{1: ,1: scheduled}",16,"{30: 30 scheduled lines,2: two ICE Sprinter lines}",{2: lines},"{1: ,1: scheduled}",3,"{30: 30 scheduled lines,2: two ICE Sprinter lines,4: Four multisystem trains,3: ICE 3 trains,24: the 24 ICE lines,3: the 3 ICE Sprinter lines,3: three main types,1: ICE 1 trainsets,1: one ICE line,2: the first two German high-speed rail lines,18: 18 trainsets}","{1: types,2: trainsets,1: line,2: trains,5: lines}","{8: ,1: main,1: German,1: scheduled,1: first,1: high}"
Number of ice lines in Germany,,,,5,"{30: 30 scheduled lines,2: two ICE Sprinter lines,5: five types}","{1: types,2: lines}","{2: ,1: scheduled}",5,{5: five types},{1: types},{1: },6,"{30: 30 scheduled lines,2: two ICE Sprinter lines,5: five types,5: five types,24: the 24 ICE lines,3: the 3 ICE Sprinter lines,1: the number one long-distance passenger transport service,13000000: over 13 million passengers,33: up to 33 countries,45: more than 45 cities,6: the 6 top-selling ice cream brands,7: the seven directorates}","{1: cities,1: brands,4: lines,2: types,1: passengers,1: service,1: countries,1: directorates}","{8: ,1: scheduled,1: top,1: long,1: more,1: selling}"
How many hospitals does tennessee have?,,,,,,,,407,{407: 407 hospitals},{1: hospitals},{1: },24,"{407: 407 hospitals,5000: nearly 5,000 hospitals,185: 185 hospitals,119: 119 freestanding surgery centers,89: 89 hospital campuses,30: 30 states,5: 5 things,61: 61 hospitals,7: 7 procedures,14: 14 Hospitals,3: the three states,4: 4 adult procedures,128000: at least 128,000 kids,8: eight hospitals,6: six closures,16: 16 counties,4: four states,102: 102 hospitals,18: 18 states,7000: Approximately 7,000 employees,9: at least nine rural hospitals,7: 7 adult procedures,53: These 53 hospitals,12140: 12,140 abortions,2800: more than 2,800 U.S. hospitals,12: 12 Vanderbilt faculty members}","{1: members,1: abortions,4: states,1: centers,1: kids,1: campuses,3: procedures,1: things,1: counties,1: employees,9: hospitals,1: closures,1: Hospitals}","{23: ,1: freestanding,1: more,1: rural}"
hospitals in tennessee,,,,,,,,,,,,10,"{8: the top eight hospitals,286: 286 all-private patient rooms,168: 168 hospitals,5: 5 adult specialties,10: 10 rural hospitals,15: At least 15 more hospitals,8: 8 adult procedures,25: the 25 hospitals,4: 4 adult procedures}","{5: hospitals,1: rooms,1: specialties,2: procedures}","{5: ,1: private,1: rural,1: top,1: more,1: patient}"
tennessee hospitals,,,,,,,,,,,,88,"{8: the top eight hospitals,168: 168 hospitals}",{2: hospitals},"{1: ,1: top}"
Number of hospitals in tennessee,,,,,,,,,,,,11,"{8: the top eight hospitals,172: 172 hospitals,134: 134 general/specialty hospitals,5: 5 adult specialties,10: 10 pediatric specialties,6: 6 adult specialties,13: Thirteen hospitals,8: eight hospitals,8: 8 adult procedures,102: 102 hospitals,18: 18 states,4: 4 adult procedures,286: 286 all-private patient rooms,8: 8 pediatric specialties,5: 5 adult procedures,89: 89 hospital campuses,30: 30 states,123: 123 self-designated burn care facilities}","{1: rooms,4: specialties,2: states,1: facilities,6: hospitals,1: campuses,3: procedures}","{12: ,1: private,1: top,1: general,1: designated,1: patient,2: pediatric}"
How many titles does Roger Federer have?,,,,46,"{103: 103 ATP singles titles,20: a record 20 Grand Slam singles titles,1028: 28 ATP Masters 1000 titles,310: 310 weeks,2: the two longest streaks,46: 46 semi-final appearances,8: eight men,4: four players,100: Federer's 100 titles}","{4: titles,1: men,1: appearances,1: streaks,1: weeks,1: players}","{7: ,1: final,1: longest}",33,"{103: 103 ATP singles titles,20: a record 20 Grand Slam singles titles,1028: 28 ATP Masters 1000 titles,310: 310 weeks,2: the two longest streaks,46: 46 semi-final appearances,8: eight men,4: four players,100: Federer's 100 titles,98: 98 ATP singles tournaments,71: 71 titles,18: 18 Grand Slam singles titles,7: 7 Wimbledon titles,5: 5 AO titles}","{8: titles,1: men,1: appearances,1: streaks,1: weeks,1: tournaments,1: players}","{12: ,1: final,1: longest}",16,"{103: 103 ATP singles titles,20: a record 20 Grand Slam singles titles,1028: 28 ATP Masters 1000 titles,310: 310 weeks,2: the two longest streaks,46: 46 semi-final appearances,8: eight men,4: four players,100: Federer's 100 titles,71: 71 titles,18: 18 Grand Slam singles titles,7: 7 Wimbledon titles,5: 5 AO titles,98: 98 ATP singles tournaments,10: 10 titles,16: 16 Grand Slam titles,5: five Wimbledons,6: six Grand Slam titles,102: 102 career titles,2: two sets,17: 17 Grand Slam titles,17: 17 Grand Slam titles,6: six more Wimbledon titles,19: 19 Grand Slam titles,27: 27 titles,7: 7 Wimbledon titles,4: 4 straight French open titles,2: two little twin girls}","{19: titles,1: men,1: appearances,1: Wimbledons,1: streaks,1: weeks,1: tournaments,1: girls,1: players,1: sets}","{23: ,1: straight,1: open,1: twin,1: final,1: more,1: French,1: little,1: longest}"
